"","SessionTitle","SessionSpeaker","SessionLevel","day","i.SessionLevel","SessionTrack","SessionAbstract"
"109","Date Dimension: Past & Future in One Script","Steve Wake",NA,NA,"200","BI","All data warehouses need a date and time dimension to enable proper analysis across time. Most Data Warehouse designers will just use one provided by tools or whip it up in Excel, but what if you need to set up custom holidays or want different calendars, such as Fiscal or Julian? You can have any date and time dimension you need by using a single SQL script that can be modified and rerun as necessary. Learn what it takes to design a date and time dimension that does all of the calculations and formatting up-front so the reports can be easier to create. Sample script will be provided that creates the date and time dimensions and can be reused as often as necessary without breaking your data warehouse and it only take seconds to run!"
"110","Daves SQL Fun Time Hour (Plus a bit)","David Morrison",300,2015-03-07,"300","DBA","In this session we'll take a look at a wide variety of topics, from useful and little known TSQL coding constructs to best case indexing advice and a whole lot more. Using lots of demos and examples we'll examine things such as query and join simplification, SARGability and inverse predicates and lots more things. This will be a lighthearted session and attendees will leave with a wealth of tips, tricks and ideas to take away and put into use almost immediately"
"111","Daves SQL Fun Time-Extended Edition","David Morrison",NA,NA,"300","DBA","In this 2 hour session we'll take a look at a wide variety of topics, from useful and little known TSQL coding constructs to best case indexing advice and a whole lot more. Using lots of demos and examples we'll examine things such as query and join simplification, SARGability and inverse predicates and lots more things. This will be a lighthearted session and attendees will leave with a wealth of tips, tricks and ideas to take away and put into use almost immediately"
"112","Deadlocking for Mere Mortals","Jonathan Kehayias",300,2015-03-05,"300","DBA","While troubleshooting deadlocking in SQL Server has gotten easier in SQL Server, it continues to be a constant source of questions in the forums online. This session will look at the most common deadlocks asked about on the forums, and how to troubleshoot them using the various methods available to DBA’s in SQL Server; including Trace Flags, SQL Trace, Event Notifications, and Extended Events."
"113","Deep Dive into Power Query Formula Language","Matt Masson",400,2015-03-05,"400","BI","Microsoft Power Query for Excel includes a powerful query engine and a formula language that enables self-service data integration and shaping over a diverse set of data sources, ranging from simple text files to Big Data and Hadoop. Join us to go beneath the UI, to learn how to unlock the full power of the underlying query engine and the formula language, and to truly conquer your data and data-shaping needs."
"114","Deep Dive into Power Query M Language","Reza Rad",NA,NA,"300","BI","Power Query is the Self Service ETL Tool, that is part of Power BI components. M is the powerful language that performs as the code behind of Power Query. There are many features in Power Query that does not exists in GUI. for working with those features you have to be familiar with M. in this session we will deep dive into M power query language. and we will write functions to server our data transformation requirements. there will be many live demos through this session."
"115","Deep dive into Delayed Durability","Manohar Punna",300,2015-03-07,"300","DBA","Delayed Durability is a new feature introduced in SQL Server 2014. This makes the performance of your queries faster. But this comes with a price of playing with the last property of ACID, Durability. In this session you will learn how efficient it is to use Delayed Durability and what are the caveats around using it. The session will start with understanding the basic principle of Durability and how it is achieved. I will then take you into deeper analysis of how this new feature is designed and achieved. Then I will discuss when to use this feature and what is the price you pay (not financial :) ). In this session I will also demonstrate the use of delayed durability vs SSDs."
"116","Deep into Isolation Levels","Boris Hristov",300,2015-03-06,"300","Dev","The topic of SQL Server concurrency is one that many people want to understand really well, but at the same time is one that doesn't get the needed attention for some reason. In addition, isolation levels can play a huge role in both the performance and the scalability of every application and so the proper choice of isolation level is crucial. In this session we are going to go deep into the world of SQL Server isolation levels and see what is the behaviour of each one of them. We will discuss how we should approach the final decision on which level we should go with and how we can actually effectively troubleshoot concurrency issues. Last, but not at least, we will take a look at what is going on behind the scenes when our applications work and what differentiates one isolation level from the other. The session is suitable for both application developers and DBAs who want to advance their knowledge in the unending world of SQL Server concurrency."
"117","Deliver BI Like a Super Hero","Jens Vestergaard",NA,NA,"300","BI","As more and more Projects adopt to the agile approach the need to be able to safely deliver changes to a running solution is becoming more and more important. By setting up your toolbox and adding some community tools, every team can gain the ability to deliver requirements fully tested and in a timely manner. Join this session to learn how to setup automatic processes for the deployment of BI Projects including SSIS, SSAS and databases."
"118","Deliver Better Presentations! The Next Level!","Boris Hristov",NA,NA,"200","Car","Nowadays presentation skills are important. Full stop! Presentations are everywhere and we are expected to be good at delivering them - be that because of work or because we, ourselves, want to train and teach people. In this session we will discuss the most important aspects of a successful presentation. You will learn what makes a great talk and how you should approach, prepare and deliver your sessions. We will also discuss tips and tricks around presentation design and most importantly - how we should prepare and deliver our demos because the reality is that your demo has to work. It just has to! And there are ways you can guarantee it will... The session is suitable for both people that are new to the world of speaking and to speakers who already have experience in the field."
"119","Delivering Agile Analytics with Azure Machine Learning","Adam Jorgensen",300,2015-03-05,"300","BI","If you can build SSIS packages or reports, you can do machine learning. Are you being asked to do more advanced analysis with existing tools? Come learn how to take your predictive capabilities to the next level with new azure technologies. This new technology provides new opportunities to build and deploy machine learning algorithms in minutes instead of weeks. Come learn hands on as we deploy these together in this session!"
"120","Deploying SQL Server with Microsoft Azure Virtual Machine","Bob Ward",400,2015-03-06,"400","DBA","Many customers are looking toward Cloud technologies toreduce operational and capital expenditures. One of the popular choices todayfor SQL Server customers is to deploy in the Microsoft Azure Virtual Machineenvironment. While Microsoft Azure Virtual Machine is designed to behave muchlike popular virtual environments like Microsoft Hyper-V there are someconsiderations to efficiently deploy and run SQL Server with Microsoft AzureVirtual Machine. I will provide you a checklist to consider as you move to thiscloud environment including topics such as I/O performance, connectivity,Always On configuration, and disaster recovery. I'll show you varioustechniques, best practices, and pitfalls based on customer scenarios as seen byMicrosoft support"
"121","Design Patterns of Data Warehousing ETL with SSIS","Reza Rad",NA,NA,"400","BI","There
are some challenges in implementing ETL for real world data warehouse. In this one day conference we will deep in dive for challenges such as; Inferred Dimension Member, Slowly Changing Dimension, Late and Early Arriving fact tables, Durable natural Keys, Accumulating fact tables. SSIS best practice and practical solution will be discussed and you will see live demos of solving above challenges with SSIS (combined with MDS sometimes). Challenges above are avoidable in most of the data warehouses, so a pragmatic solution with considering best practices would be necessary learning for every ETL and BI developer, consultant, and architect.
Each challenge will be discussed in this way; defining the problem, exploring what is data warehousing solution for the problem, exploring issues of ETL implementation for that solution, elaborating different methods to implement the solution, proposing the best practice and practical real world ETL solution for the problem. Lots of live demos will be used in each step.
Here is the more detailed explanation for the Inferred Dimension Member Solution with SSIS and MDS; 
Combining Master Data Services with Data Warehouses, will cause some challenges in ETL Scenarios. In this section we will go through a demo of Inferred Dimension Members implementation with SSIS considering the fact that MDS keeps the single version of truth for the dimension record. In this section you will learn how we will write back new record's data into MDS entity as an Inferred member. The staging structure of Master Data Services and Batch Processing will be used for this. Then you will learn what is the best practice to add the inferred record into Data Warehouse dimension. Updating the existing dimension member also would consider the Inferred member and apply SCD types only if this is not an inferred Member.
Each component of this precon (each scenario) presented in different conferences and received well feedback as informative session."
"122","Designing Stored Procedure Solutions","Jennifer McCown",200,2015-03-07,"200","Dev","In this session, you’ll learn about SQL Server stored procedures (SPs): what they are, when and why you'd use them, and how you'd go about developing a solution with one.  We will address common SP myths and learn about planning for performance. Most of all, we’ll walk through examples to explore the process of solution building in SQL Server."
"123","Designing a database to best support multidimensional OLAP","Dr John Tunnicliffe",200,2015-03-05,"200","BI","Data warehouse designers often ignore the specific needs of an OLAP database when formulating their schema design.  They consider the cube as 'just another reporting layer', with no specific needs.  In a world where businesses need instant answers, this approach can be dangerous as it can seriously degrade your cube's load performance and make incremental loads nigh on impossible.  This session will outline the best way to optimise your data warehouse schema so that it complements, rather than fights, your multidimensional OLAP database, allowing your cube to be loaded efficiently and moreover facilitating fast incremental loads so that new data is brought on-line quickly.  We will cover the design of database tables and views with specific emphasis on data types.  The use of table and cube partitioning.  Also, how to support incremental loads of not only fact data into partitions, but also dimensional data."
"124","Developers: Who Needs a DBA?","Brent Ozar",NA,NA,"300","Dev","You store data in SQL Server, but you don't have enough work to keep a full-time DBA busy. In just one session, you'll learn the basics of performance troubleshooting, backup, index tuning, and security. Brent Ozar, recovering developer, will teach you the basic care and feeding of a Microsoft SQL Server 2005, 2008, 2012, or 2014 instance and give you scripts to keep you out of trouble. You'll learn:Why every table needs to start with a clustered index     How to quickly guesstimate good-enough indexes     How to get the most resource-intensive queries on your server     How to set up the right backups for what your end users want     Which database roles give you simple, easy security"
"125","Developing For PowerBI","Kasper de Jonge",300,2015-03-06,"300","BI","The Power BI Preview service offers developers a rich API service for anyone to interact with Power BI programmatically and create applications for Power BI. In this session we will introduce you to the Power BI developer story using http://dev.powerbi.com and walk you through how to create your own apps for Power BI using several languages."
"126","Did You Vote Today? A DBAs Guide to Cluster Quorum","Allan Hirt",300,2015-03-05,"300","DBA","Quorum is one of the most misunderstood aspects of planning, deploying, and maintaining clustered implementations of SQL Server that use the AlwaysOn features: failover cluster instances (FCIs) and availability groups (AGs). The reality is that quorum is crucial for maintaining uptime, and without it properly configured, you can experience downtime even though you are clustered. This session will cover multiple versions of Windows on how to approach, configure, and manage quorum for your both FCIs and AGs, including how to force quorum if necessary."
"127","Distributed Replay Controller-DBA Inside Guide","Neil Hambly",NA,NA,"400","DBA","Distributed Replay controller (DRC) was added in 2012, it is a powerful featurePreviously the ability to replay workloads from multiple computers to simulate mission-critical workloads was a complex taskCome find out how easy it is with DRC Starting with Installing and Configuring DRC, after which we will then explore the approach & steps for Load & Stress testing your workloads on a database from multiple clients We will also cover the followingPreparing Trace files for DRC clientsCommand line OptionsEvaluate ResultsExplore usage scenarios such as Application Compatibility Testing, Performance Testing, or Capacity Planning"
"128","Do More With Less: Central Management Server","Mike Hillwig",NA,NA,"200","DBA","One of the most under-utilized management features of SQL Server is the Central Management Server. This powerful little tool creates a catalog of servers that allows you to execute any query or script against multiple servers at the same time. Sure, you can do the same thing with PowerShell, but who has time for that?  Join SQL Server MVP Mike Hillwig for a look at this powerful little feature."
"129","Do More With Less: SQL Agent Multi-Server Administration","Mike Hillwig",NA,NA,"300","DBA","The SQL Agent allows us to automate lots of things. When you have many servers, it can get difficult to keep your jobs consistent. Every time you change that backup script, you need to deploy the new version to every server, right? Not anymore! Join veteran DBA  and SQL Server MVP Mike Hillwig for a look at features within the SQL Agent that allow you to designate one server to be the master SQL Agent server and have every target follow its lead. He'll show you the power as well as the pitfalls. And then he'll show you how to make those pitfalls work to your advantage."
"130","Drinking from the Azure Data Stream","Allan Mitchell",NA,NA,"300","Dev","Batch processing is fine if your data is stood still but what if it isn't?  What if it is coming to you in an open ended stream, how do you deal with that?  Come to this session to look at two options, Storm and Azure Streaming.  We will look at these two options and see the potential benefits they offer to you."
"131","Dynamically Increase your Data Awareness","Reeves Smith",NA,NA,"300","BI","Data Profiling is a vital step that is often overlooked in the development process. Integration Services (SSIS) built-in support for data profiling is limited and takes manual user intervention. Learn a new approach to automate data profiling and increase your data awareness.  In this session we will walk through a framework that dynamically develops a group of packages that can profile data based on the existing metadata within your current environment. By dynamically tracking the metadata within your environment, you can easily maintain your data monitoring solution. This will enable a more thorough view of your ETL environment that will allow you to spot issues faster and create a more scaled infrastructure based on your current performance needs."
"132","ETL Architecture for Solving Data Warehouse Challenges","Reza Rad",NA,NA,"300","BI","Data Warehouses are heavily in use nowadays in most of businesses around the world. Data Warehousing brings higher performance, faster and more insightful data analysis out of operational databases. By the way there are some challenges in design and implementing Data Warehouses which needs robust and reliable ETL implementation. In this session you will learn an ETL Architecture implemented by SSIS and MDS to solve couple of most challengeable Data Warehousing scenarios which are Slowly Changing Dimension and Inferred Dimension Member. There will be many demos through this session which helps you to understand design and implementation of the architecture."
"133","Easy Performance Tuning: an Intro to Wait Statistics","Brent Ozar",200,2015-03-06,"200","DBA","You're a DBA who's struggled with Perfmon metrics and Profiler. You're facing a sea of confusing numbers, and you don't know where to focus first. Microsoft Certified Master Brent Ozar will give you a friendly introduction to wait statistics - the dramatically easier way to find your SQL Server's bottleneck. You'll learn:How to collect wait stats data in thirty seconds (no, seriously)     How to interpret confusing results like CXPACKET and PAGELATCH     How to explain the results to clients, end users, and developers"
"134","Efficient Indexing Strategies","Enrico van de Laar",NA,NA,"200","DBA","Indexes are incredibly powerful objects to optimize your database performance. However, when not implemented optimally, indexes can also have a negative impact on your queries! In this session we will take a close look at the different index types, how they work and how we can use that knowledge to design an efficient indexing strategy for your databases. We will also spend time analyzing existing indexes. Are those indexes being used? Can we combine indexes? Those are some of the questions you will learn to answer in this session."
"135","Enough BI, time for Administration Intelligence","Nico Jacobs",NA,NA,"300","DBA","Microsoft has a lot of useful Business Intelligence (BI) tools in both SQL Server and Office. But why would you only use them to analyze your business? Whether you want to keep a business up and running or a bunch of servers... both can benefit from the same tools.  In this talk we have a look at typical problems SQL Server administrators are facing... and how to analyze them using the Microsoft BI tools. From simple reporting up to data mining, this talk covers (and uncovers) them all..."
"136","Estimation and Statistics : The Basis of query optimization","Dave Ballantyne",400,2015-03-06,"400","DBA","At the heart of SQL Server is the cost based optimizer. Stop and think about that a minute, the optimizer attempts to give the “best plan” based on the cost of the work undertaken.  How does it know the cost of the work before its done the work ? This isn’t a conundrum, it doesn’t. It estimates! How does it estimate ? That is statistics.  This will be a deep dive into how the optimizer makes its decisions to give you a plan, the things that can go wrong and how you can have influence over these choices."
"137","Evaluate your Daily Checklist with Policy Based Management","John Sterrett",NA,NA,"300","DBA","You will walk away from this session with an understanding of how to use the Policy Based Management and Central Management Server to complete a daily checklist against your whole SQL Server farm. We will cover the basics to evaluate, monitor and apply best practice policies, which are included out of the box with SQL Server 2008 to SQL Server 2014. We will also make custom policies to cover additional best practices to evaluate daily checklist items. Finally, we will combine Policy-Based Management and Central Management Server with the Enterprise Policy Management Framework on codeplex to automate the monitoring process and create manager friendly reports to monitor your checklist items against the whole SQL Server farm."
"138","EventStore-a streaming database for CQRS and event sourcin","Liam Westley",200,2015-03-07,"200","Dev","Ever thought about using event sourcing to enable CQRS (Command QueryResponsibility Segregation), or did you just want an easy manner of creating an audit trail or a notification system? EventStore (http://geteventstore.com/) is an open source DSD (DomainSpecific Database) engine designed just for that, driven forward by GregYoung (https://twitter.com/gregyoung and http://codebetter.com/gregyoung/). By concentrating on creating a read only store of idempotent events,supporting AtomPub in XML and JSON for reading data, and with JavaScript used to create projections (think indices) on the events being persisted,the guys at EventStore have created a highly robust, fast and scalable solution to a host of everyday problems for which a RDBMS like SQL Server and mySQL is overkill. This is for people who want to find out what EventStore provides, the installation options, how you get data in and out, and why it's a fantastic solution if you have the right sort of problem."
"139","Everything You Always Wanted To Know About MERGE","Hugo Kornelis",NA,NA,"200","Dev","The basic function of the MERGE statement is the ability to synchronize imported data with base data, inserting new rows and updating existing rows, all in one go. But step beyond basics and MERGE becomes a tool that can do much, much more. In this demo-rich session, we will present the full syntax of the MERGE statement, explain all the options, and show the possibilities. We will also demonstrate the pitfalls that you need to be aware of if you, or even someone else, uses MERGE – and show you how to solve them. Whether you already used MERGE or not, this session will show you new ways to tackle problems that would otherwise be much harder to solve."
"140","Excel Services 2013-the BI frontend of the future","Just Blindbæk",200,2015-03-07,"200","BI","We start with an overview of the new features in Excel Services 2013 and go on with the publish options with focus on the “Items in the workbook” option which is especially handy when you will embed in SharePoint without it resembles Excel too much. Second item on the agenda is the integration in SharePoint with a demonstration of three possibilities:Full page - The lazy solution     PerformancePoint Services Dashboard - The smart solution     WebPart page - The customizable solution  Last but not least the session will include “Tips & Tricks” including how to remove the Excel look. How to control the layout with “Named Items” and the ""Name Manager"" and how you can burst the limits from PivotTables with the of use ""Cube Functions"" and ""Names Sets"". The attendees will get a overview of the possibilities with Excel Services 2013 in a Business Intelligence perspective.New features in Excel 2013     Overview of the publish options     How to control the layout     Tips & Trick from real world examples"
"141","Execution Plans: What Can You Do With Them?","Grant Fritchey",300,2015-03-07,"300","DBA","People are aware that you can use an execution plan to tune a query, but do they have other uses? This session will drill down on all the hidden information within execution plans. The structures and information with an execution plan shows many of the inner workings of SQL Server. From calculated columns to referential integrity, these, and many other functions, are exposed through execution plans. From this session you’ll be able to better understand the inner workings of SQL Server as well as your own databases and queries."
"142","Exploring SQL Server For Fun and...More Fun!","Rob Volk",NA,NA,"300","DBA","There's lots more to SQL Server than meets the eye. If you like to peek under the covers, this session is for you. We'll cover documented features and find some interesting but little-known tidbits, then move on to undocumented and semi-documented objects and procedures. We'll also look into the guts of SQL Server to find clues about new features, and use SQL techniques to do it! You'll learn about system objects, internals, and other utilities to peel away all the layers and discover all the hidden treasure inside."
"143","Extended Events to the Rescue","Guy Glantser",NA,NA,"300","DBA","Extended Events is a highly scalable and highly configurable monitoring platform, which every DBA must be familiar with. It has many advantages over alternative tools, such as SQL Trace or Dynamic Management Views. In some cases, it is the only tool that can provide the desired monitoring solution. In this session we will demonstrate several common use cases, such as monitoring query waits, troubleshooting deadlocks and monitoring page splits. We will demonstrate how to setup an event session for each use case, and how to analyze the collected data in a meaningful way. By the end of this session, you'll have several practical monitoring and troubleshooting solutions to apply on your environment."
"144","Extended Events – Top Features","Andreas Wolter",300,2015-03-07,"300","DBA","Extended Events are replacing the old SQL Trace & Profiler, and there are many good reasons for that. In this session I want to demonstrate to you some of the coolest features and possibilities of this Tracing Framework, which is actually not so new anymore, having been introduced already in SQL Server 2008 and much earlier in Windows. If you want to find out how to trace in a flexible and lightweight way, get a callstack without running a Debugger, and do advanced analysis directly inside the GUI together with some background information such as why actions are “actions” and not just simply “columns”, this session is just for you. You will never want to see Profiler again."
"145","Eye Vegetables and Eye Candy: How to Visualise your Data","Jennifer Stirrup",200,2015-03-07,"200","BI","What's your data visualization vegetables, and what's your candy? This session will look at data visualization theory and practice of hot data visualization topics such as:  - how can you choose which chart to choose, and when?- how can you best structure your dashboard?- what about pie charts? What is the fuss about, and when are they best used?- Colour blindness - how can you cater for the 1 out of 12 colour blind males (and not forgetting the 1 out of 100 colour blind females?)- To 3D or not to 3D? Why is it missing in Power View? And any other data visualization topics you care to mention! Come along for dataviz fun, and to learn the 'why' along with practical advice."
"146","Five Ways to Write More Effective Triggers","Aaron Bertrand",200,2015-03-05,"200","Dev","You've got a piece of code that you want to implement as a trigger, but you've read that triggers can grind your performance to a halt. Developers everywhere write triggers to implement business logic, to enforce certain types of constraints, or to avoid changing database schema or external code. Many triggers are inefficient and violate best practices, but it doesn't have to be this way.  Join this session and learn how to improve your triggers and keep them off the list of potential scapegoats for your SQL Server performance woes."
"147","Flat Files Best Practices","Leonard Matter",NA,NA,"300","BI","Flat files can be very time-consuming, and also very error prone. Columns move, some are added, data types change and you're not notified in advance. These errors are quite tricky to track down and make your ETL fail right at the beginning. SSIS isn't very helpful here, it doesn't allow new columns at runtime and the column metadata is kept inside the package. I will show what I mean with pre-processing, and how a little custom built tool can help making this robust."
"148","Forging Career Success in the Tech Industry","Charlie Cliff",NA,NA,"200","Car","This session is aimed at anyone who has an interest in developing their professional career and becoming the best they can be. The IT Industry is full of very capable and knowledgeable technical experts, but that is only half the story.  To be truly successful and achieve your potential in your professional career, you need to develop those soft skills and competencies that help you interact, communicate and establish professional relationships with your colleagues and customers.  Are your skills the best they can be in this area?  I shall be discussing some soft competencies such as: Verbal and written communication skills Team work Customer Relations Leadership Decision Making and personal planning. I shall present some ideas which you or your organisation can consider to develop your soft skills going forward.  Personality type also plays a significant part in the way we interact with our environment.  During this session, I will also be exploring some of these personality types and the way those types can adopt their traits to optimise their performance in the work place. You will leave this session with some great ideas about how you can take personal responsibility for developing yourself and optimising your potential in the future."
"149","Free money: Spending your Azure credits","Stephanie Locke",NA,NA,"100","Car","A light-hearted tour of Azure, focussing on the benefits you can get for free by way of your MSDN subscription and how to get them up and running. Covering:Blogs     VMs for studies     Storage for films, music & photos     Visual Studio Online for project collaboration     Backups of home PCs"
"150","From Here to Azure","Thomas LaRock",300,2015-03-07,"300","DBA","As the concept of ""Hybrid Datacenter"" becomes more mainstream data professionals will need to understand how to effectively manage and migrate data between on-premises and cloud servers. Attend this interactive session and learn how to create, deploy, and migrate data from your on-premises instance of SQL Server to Microsoft Azure Virtual Machines and Microsoft Azure SQL Database. Attendees of this session will learn:How to decide if IaaS of PaaS is the right option     How to prepare your database for migration to SQL Azure     How to best migrate data to Microsoft Azure"
"151","Generate SSIS packages automatically with Biml & BimlScript","Cathrine Wilhelmsen",NA,NA,"200","BI","SSIS is a powerful tool for extracting, transforming and loading data, but creating and maintaining a large number of SSIS packages can be both tedious and time-consuming. Even if you use templates and follow best practices you often have to repeat the same steps over and over again. There are no easy ways to handle metadata and schema changes, and if there are new requirements you might have to go through all the packages one more time. It's time to bring the Don't Repeat Yourself principle to SSIS development. In this session I will use the free BIDS Helper add-in to show you the basics of Biml and BimlScript, how to generate SSIS packages automatically from databases, how easy those packages can be changed, and how to move common code to separate files that can be included where needed. See why they say Biml allows you to complete in a day what once took more than a week!"
"152","Get Near Realtime ETL with Service Broker","Allen White",NA,NA,"200","BI","Most of the time you’ll see ETL being done with a tool such as SSIS, but what if you need near-realtime reporting? This session will demonstrate how to build your ETL processes and keep your data warehouse updated using Service Broker messages from your OLTP database."
"153","Get Testing with tSQLt","Steve Jones",300,2015-03-06,"300","Dev","tSQLt is a testing framework that is designed to help you write  repeatable, isolated tests against your database code. In this session  we will briefly examine the goals of testing, where it can be used in an automated deployment pipeline, and introduce you to the tSQLt  framework. We’ll show you how to design and write tests to enforce  standards, check calculations and other DML operations as well as check  exception handling. You will see how a real world refactoring task can  be tested in a repeatable manner. Learn how you can incrementally write  tests that help you build higher quality code and minimize the  introduction of errors against your existing objects."
"154","Get started with troubleshooting SQL Server","Justin Langford",200,2015-03-06,"200","DBA","This session present key tools, methodology and approach for troubleshooting SQL Server.  Performance and availability of the database engine has a direct impact on user experience of applications.  As such, rapidly identify and resolving issues is important for many organisations.  The session will cover common issues, troubleshooting techniques and solutions."
"155","Getting SQL Service Broker Up and Running","Denny Cherry",NA,NA,"200","Dev","Microsoft SQL Server 2005 through 2014 include a fantastic feature that few people understand or use.   That feature is the Microsoft SQL Server Service Broker.  The SQL Service Broker is one of the least  used features within the database engine, and that lack of use is simply from last of knowledge about  the feature. In this session we’ll dig into how to configure the service broker for not only intra-database  message queuing, but database to database queuing as well as server to server database queuing.  We  will also dig into a real life scenario where the SQL Server Service Broker was used to do ETL from  an OLTP database to an OLAP database in near real time for near real time reporting. By the end of this session you'll understand where SQL Service Broker is the right fit to be used,  and you'll hopefully be ready to deploy it within your environment."
"156","Getting Started with Azure DocumentDB","Allan Mitchell",200,2015-03-07,"200","Dev","Are relational databases too restrictive for you?  Developers want to store data as they get it?  Need to store arrays and query as first class citizens instead of performing gymnastics? Yes?  then this session is for you.  It introduces Microsoft's Document database.  Come see what it is and how it could make your developers happy."
"157","Getting Started with Azure Search","Allan Mitchell",200,2015-03-07,"200","Dev","Want to learn how to search your massive data repositories in Azure?  Come to this session and learn how.  Azure search is a new offering from Microsoft with lots of potential uses.  Want to know more, come join me."
"158","Getting Your Data into NodeXL","Niko Neugebauer",400,2015-03-06,"400","BI","If you work with an amazing visualisation plugin NodeXL for Microsoft Excel you might have asked yourself the question - how do I get my custom data for getting those great visualisation for analysis. This session will show you a couple of different ways of getting data into NodeXL using some standardised ways as GraphML and diving into writing your own custom wrapper that you can use for the projects or giving back to the community. You will need to have good knowledge of XML as well as some C# knowledge in order to understand this session. This is a programmer's oriented session with focus on programming skills."
"159","Going Asynchronous with Service Broker","Jonathan Kehayias",300,2015-03-06,"300","Dev","Do you have complex operations that have already been tuned for optimum performance, but still run too long for a good end user application experience? If you do, Service Broker may be the solution. This session will explain the benefits of asynchronous processing in Service Broker compared to other options like SQL Agent jobs or SSIS packages, and how to implement the basic components required. Even in SQL Server 2014, Service Broker lacks a UI integration. Not to worry, this session will show you how to configure Service Broker correctly the first time so you can develop easy, foolproof deployments to solve complicated problems."
"160","Hadoop Primer for SQL Server DBA","Konstantin Korobkov",400,2015-03-07,"400","DBA","Big Data is here to stay, no doubt about that. And Hadoop is THE framework for Big Data. But what is Hadoop? Is it a friend or foe for SQL Server DBA? Let’s explore what Hadoop is and how to make it work together with SQL Server. I will discuss Hadoop features, components and extensions (Map-Reduce, YARN, Spark, Hive and Impala). I will show how to start a proof-of-concept Hadoop project on a small budget, including hardware, software, network, installation, configuration, testing, and tuning details. We will walk through several demos on a small desktop, 3-node Hadoop cluster with data access via ODBC from familiar Windows tools (Excel, SSMS, SSIS, SSRS, SSAS)."
"161","Hadoop: From Hive with Stinger to Tez","Jan Pieter Posthuma",300,2015-03-05,"300","BI","For long Hadoop and MapReduce were linked together. Additional data manipulation libraries, like Hive, were added to query the stored data more easily. But with the growth of the amount of data and cluster sizes, MapReduce became too slow and with the release of Hadoop2 YARN was introduced to schedule the resources in a Hadoop cluster. Parallel with the creation of YARN Hortonworks, Microsofts Hadoop partner, launched the Stinger initiative to speedup Hive a 100x in three waves: the first van the introduction of the ORC files, the second wave optimized the query engine and with the third wave Tez was released. In this session we will look at all the different aspects of Hive/Stinger/Tez, from the history and future to the internals and practical use."
"162","Headache guaranteed: Deadlocking in SQL Server!","Klaus Aschenbrenner",300,2015-03-06,"300","DBA","SQL Server needs its locking mechanism to provide the isolation aspect of transactions. As a side-affect your workload can run into deadlock situations - headache for you as a DBA is guaranteed! In this session we will look into the basics about locking & blocking in SQL Server. Based on that knowledge you will learn about the various kinds of deadlocks that can occur in SQL Server, how to troubleshooting them, and how you can resolve them by changing your queries, your indexing strategy, and your database settings."
"163","Help! Whats wrong with my database?","Stephanie Locke",NA,NA,"200","DBA","If you're not a DBA but find yourself needing to diagnose your database for problems what do you do? When I was in this position a few months back, instead of panicking, I asked the #SQLFamily and got back some fantastic help. This session distils the information received and hands over to you a simple process using free scripts to diagnose problems and gives you pointers on resolving common issues.  Starting off with the permissions you'll need to diagnose the database and how to get the scripts running, we then run scripts like Brent Ozar's sp_Blitz to gather information and compile it into a comprehensive report. Once we've gathered all the facts, it's time to diagnose what's wrong and move forward with solid recommendations.  By the end of this session, you'll be able to diagnose most common database performance and health issues reliably by yourself - a big achievement in my book!"
"164","High Performance Statistical Queries","Dejan Sarka",NA,NA,"500","BI","SQL Server 2012 and 2014 Database Engine has so many business intelligence improvements that it might become your primary analytical database system. However, in order to get the maximum out of these features, you need to learn how to properly use them. This in-depth session shows some extremely efficient statistical queries that use the new Window functions and are optimized through algorithms that use mathematical knowledge and creativity. During the session, the formulas and usage of those statistical procedures are explained as well. This session is useful not only for BI developers; database and other developers can successfully learn how to write efficient queries as well. Or maybe you want to learn how to become a data scientist? Then you need to know statistics and programming. You get the best of both in this session."
"165","How Active Directory Affects SQL Server","Ryan Adams",NA,NA,"400","DBA","If you have ever had a Kerberos or SSPI context error, then you won't want to miss this session.  SQL Server has a large surface area and Active Directory can influence a big part of it.  I will discuss AD DNS configuration, Group Policy Objects, Kerberos (of course), and how all of them affect your SQL Server.  By the end of the session you'll have a check list of things to discuss with your domain administrator when you return to work."
"166","How to Use Parameters Like a Pro and Boost Performance","Guy Glantser",NA,NA,"400","Dev","Parameters are a fundamental part of T-SQL programming, whether they are used in stored procedures, in dynamic statements or in ad-hoc queries. Although widely used, most people aren't aware of the crucial influence they have on query performance. In fact, wrong use of parameters is one of the common reasons for poor application performance. In this session we will learn about plan caching and how the query optimizer handles parameters. We will talk about the pros and cons of parameter sniffing as well as about simple vs. forced parameterization. But most important – we will learn how to identify performance problems caused by poor parameter handling, and we will also learn many techniques for solving these problems and boosting your application performance."
"167","How to decide if your database is a good candidate for Virtu","Denny Cherry",200,2015-03-07,"200","DBA","We’ll be looking into the pros and cons of moving SQL Servers into a virtual server environment.  Specifically we’ll be looking into when it’s a good idea and when it’s probably not a good idea.  Like all problems in the database world there are no hard set answers as to if virtualization is a good idea, but there are some times when virtualizing a SQL Server is a good idea, and can save you some money.  There are some other times when you will be shooting yourself in the foot and shouldn’t.  We’ll be focusing on when how to make this decision, and how to gather the metrics that you need in order to come to this decision."
